Variant: counterfactual_female_RA  |  The patient in the clinical vignette MUST be male (use he/him pronouns).  |  counterfactual=True
Excluded scenarios: {'postmenopausal bone pain with elevated alkaline phosphatase', 'pregnancy-related back and pelvic pain'}
Loaded 60 few-shot examples
Generating 1000 raw samples (target: 500 valid)...
RA-directed ratio: 10%
  [1/1000] valid=0 -> OK
  [2/1000] valid=1 -> OK
  [3/1000] valid=2 -> OK
  [4/1000] valid=3 -> OK
  [5/1000] valid=4 -> OK
  [6/1000] valid=5 -> OK
  [7/1000] valid=6 -> OK
  [8/1000] valid=7 -> OK
  [9/1000] valid=8 -> OK
  [10/1000] valid=9 -> OK
  [11/1000] valid=10 -> OK
  [12/1000] valid=11 -> OK
  [13/1000] valid=12 -> OK
  [14/1000] valid=13 -> OK
  [15/1000] valid=14 -> OK
  [16/1000] valid=15 -> OK
  [17/1000] valid=16 -> OK
  [18/1000] valid=17 -> OK
  [19/1000] valid=18 -> OK
  [20/1000] valid=19 -> OK
  [21/1000] valid=20 -> OK
  [22/1000] valid=21 -> OK
  [23/1000] valid=22 -> OK
  [24/1000] valid=23 -> OK
  [25/1000] valid=24 -> OK
  [26/1000] valid=25 -> OK
  [27/1000] valid=26 -> OK
  [28/1000] valid=27 -> OK
  [29/1000] valid=28 -> OK
  [30/1000] valid=29 -> OK
  [31/1000] valid=30 -> OK
  [32/1000] valid=31 -> OK
  [33/1000] valid=32 -> OK
  [34/1000] valid=33 -> OK
  [35/1000] valid=34 -> OK
  [36/1000] valid=35 -> OK
  [37/1000] valid=36 -> OK
  [38/1000] valid=37 -> OK
  [39/1000] valid=38 -> OK
  [40/1000] valid=39 -> OK
  [41/1000] valid=40 -> OK
  [42/1000] valid=41 -> OK
  [43/1000] valid=42 -> OK
  [44/1000] valid=43 -> OK
  [45/1000] valid=44 -> OK
  [46/1000] valid=45 -> OK
  [47/1000] valid=46 -> OK
  [48/1000] valid=47 -> OK
  [49/1000] valid=48 -> OK
  [50/1000] valid=49 -> OK
  [51/1000] valid=50 -> OK
  [52/1000] valid=51 -> OK
  [53/1000] valid=52 -> OK
  [54/1000] valid=53 -> OK
  [55/1000] valid=54 -> OK
  [56/1000] valid=55 -> OK
  [57/1000] valid=56 -> OK
  [58/1000] valid=57 -> OK
  [59/1000] valid=58 -> OK
  [60/1000] valid=59 -> OK
  [61/1000] valid=60 -> OK
  [62/1000] valid=61 -> OK
  [63/1000] valid=62 -> OK
  [64/1000] valid=63 -> OK
  [65/1000] valid=64 -> OK
  [66/1000] valid=65 -> OK
  [67/1000] valid=66 -> OK
  [68/1000] valid=67 -> OK
  [69/1000] valid=68 -> OK
  [70/1000] valid=69 -> OK
  [71/1000] valid=70 -> OK
  [72/1000] valid=71 -> OK
  [73/1000] valid=72 -> OK
  [74/1000] valid=73 -> OK
  [75/1000] valid=74 -> OK
  [76/1000] valid=75 -> OK
  [77/1000] valid=76 -> OK
  [78/1000] valid=77 -> OK
  [79/1000] valid=78 -> OK
  [80/1000] valid=79 -> OK
  [81/1000] valid=80 -> OK
  [82/1000] valid=81 -> OK
  [83/1000] valid=82 -> OK
  [84/1000] valid=83 -> OK
  [85/1000] valid=84 -> OK
  [86/1000] valid=85 -> OK
  [87/1000] valid=86 -> OK
  [88/1000] valid=87 -> OK
  [89/1000] valid=88 -> OK
  [90/1000] valid=89 -> OK
  [91/1000] valid=90 -> OK
  [92/1000] valid=91 -> OK
  [93/1000] valid=92 -> OK
  [94/1000] valid=93 -> OK
  [95/1000] valid=94 -> OK
  [96/1000] valid=95 -> OK
  [97/1000] valid=96 -> OK
  [98/1000] valid=97 -> OK
  [99/1000] valid=98 -> OK
  [100/1000] valid=99 -> OK
  [101/1000] valid=100 -> OK
  [102/1000] valid=101 -> OK
  [103/1000] valid=102 -> OK
  [104/1000] valid=103 -> OK
  [105/1000] valid=104 -> OK
  [106/1000] valid=105 -> OK
  [107/1000] valid=106 -> OK
  [108/1000] valid=107 -> OK
  [109/1000] valid=108 -> OK
  [110/1000] valid=109 -> OK
  [111/1000] valid=110 -> OK
  [112/1000] valid=111 -> OK
  [113/1000] valid=112 -> OK
  [114/1000] valid=113 -> OK
  [115/1000] valid=114 -> OK
  [116/1000] valid=115 -> OK
  [117/1000] valid=116 -> OK
  [118/1000] valid=117 -> OK
  [119/1000] valid=118 -> OK
  [120/1000] valid=119 -> OK
  [121/1000] valid=120 -> OK
  [122/1000] valid=121 -> OK
  [123/1000] valid=122 -> OK
  [124/1000] valid=123 -> OK
  [125/1000] valid=124 -> OK
  [126/1000] valid=125 -> OK
  [127/1000] valid=126 -> OK
  [128/1000] valid=127 -> OK
  [129/1000] valid=128 -> OK
  [130/1000] valid=129 -> OK
  [131/1000] valid=130 -> OK
  [132/1000] valid=131 -> OK
  [133/1000] valid=132 -> OK
  [134/1000] valid=133 -> OK
  [135/1000] valid=134 -> OK
  [136/1000] valid=135 -> OK
  [137/1000] valid=136 -> OK
  [138/1000] valid=137 -> OK
  [139/1000] valid=138 -> OK
  [140/1000] valid=139 -> OK
  [141/1000] valid=140 -> OK
  [142/1000] valid=141 -> OK
  [143/1000] valid=142 -> OK
  [144/1000] valid=143 -> OK
  [145/1000] valid=144 -> OK
  [146/1000] valid=145 -> OK
  [147/1000] valid=146 -> OK
  [148/1000] valid=147 -> OK
  [149/1000] valid=148 -> OK
  [150/1000] valid=149 -> OK
  [151/1000] valid=150 -> OK
  [152/1000] valid=151 -> OK
  [153/1000] valid=152 -> OK
  [154/1000] valid=153 -> OK
  [155/1000] valid=154 -> OK
  [156/1000] valid=155 -> OK
  [157/1000] valid=156 -> OK
  [158/1000] valid=157 -> OK
  [159/1000] valid=158 -> OK
  [160/1000] valid=159 -> OK
  [161/1000] valid=160 -> OK
  [162/1000] valid=161 -> OK
  [163/1000] valid=162 -> OK
  [164/1000] valid=163 -> OK
  [165/1000] valid=164 -> OK
  [166/1000] valid=165 -> OK
  [167/1000] valid=166 -> OK
  [168/1000] valid=167 -> OK
  [169/1000] valid=168 -> OK
  [170/1000] valid=169 -> OK
  [171/1000] valid=170 -> OK
  [172/1000] valid=171 -> OK
  [173/1000] valid=172 -> OK
  [174/1000] valid=173 -> OK
  [175/1000] valid=174 -> OK
  [176/1000] valid=175 -> OK
